#             sqrt(s)             alpha_s           alpha_qed              weight            beam1_px            beam1_py            beam1_pz             beam1_E            beam2_px            beam2_py            beam2_pz             beam2_E           final1_px           final1_py           final1_pz            final1_E           final2_px           final2_py           final2_pz            final2_E
                  90               0.118          0.00729915                   1                   0                   0            -43.6009             43.6009                   0                   0             43.6009             43.6009             30.4225             3.78115             31.0035             43.6009            -30.4225            -3.78115            -31.0035             43.6009
                  90               0.118          0.00729915                   1                   0                   0            -46.0017             46.0017                   0                   0             46.0017             46.0017             -2.7412             -27.134            -37.0457             46.0017              2.7412              27.134             37.0457             46.0017
                  90               0.118          0.00729915                   1                   0                   0            -45.3251             45.3251                   0                   0             45.3251             45.3251            -15.5899            -17.8205             -38.649             45.3251             15.5899             17.8205              38.649             45.3251
                  90               0.118          0.00729915                   1                   0                   0            -46.6758             46.6758                   0                   0             46.6758             46.6758             37.2991            -19.3938            -20.2803             46.6758            -37.2991             19.3938             20.2803             46.6758
                  90               0.118          0.00729915                   1                   0                   0            -46.1272             46.1272                   0                   0             46.1272             46.1272            -13.3192            -38.8441            -21.0106             46.1272             13.3192             38.8441             21.0106             46.1272
                  90               0.118          0.00729915                   1                   0                   0            -35.9242             35.9242                   0                   0             35.9242             35.9242           -0.765175             5.13616            -35.5469             35.9242            0.765175            -5.13616             35.5469             35.9242
                  90               0.118          0.00729915                   1                   0                   0            -44.7585             44.7585                   0                   0             44.7585             44.7585           -0.399818             30.7353            -32.5346             44.7585            0.399818            -30.7353             32.5346             44.7585
                  90               0.118          0.00729915                   1                   0                   0            -44.8332             44.8332                   0                   0             44.8332             44.8332            -7.24783             42.0287            -13.8228             44.8332             7.24783            -42.0287             13.8228             44.8332
                  90               0.118          0.00729915                   1                   0                   0             -45.094              45.094                   0                   0              45.094              45.094            -24.9655             -33.867             -16.224              45.094             24.9655              33.867              16.224              45.094
                  90               0.118          0.00729915                   1                   0                   0            -45.0825             45.0825                   0                   0             45.0825             45.0825            -5.28264             1.83272            -44.7344             45.0825             5.28264            -1.83272             44.7344             45.0825
                  90               0.118          0.00729915                   1                   0                   0            -45.5642             45.5642                   0                   0             45.5642             45.5642            -30.8527             27.4747            -19.2183             45.5642             30.8527            -27.4747             19.2183             45.5642
                  90               0.118          0.00729915                   1                   0                   0            -46.0175             46.0175                   0                   0             46.0175             46.0175             6.15519            -13.5969             43.5298             46.0175            -6.15519             13.5969            -43.5298             46.0175
                  90               0.118          0.00729915                   1                   0                   0            -40.4045             40.4045                   0                   0             40.4045             40.4045             14.3485             27.1841            -26.2234             40.4045            -14.3485            -27.1841             26.2234             40.4045
                  90               0.118          0.00729915                   1                   0                   0            -39.3838             39.3838                   0                   0             39.3838             39.3838            -3.98048             6.56383            -38.6284             39.3838             3.98048            -6.56383             38.6284             39.3838
                  90               0.118          0.00729915                   1                   0                   0            -42.2075             42.2075                   0                   0             42.2075             42.2075             8.30993            -2.87463            -41.2814             42.2075            -8.30993             2.87463             41.2814             42.2075
                  90               0.118          0.00729915                   1                   0                   0            -42.4011             42.4011                   0                   0             42.4011             42.4011            -5.09586           -0.717964            -42.0876             42.4011             5.09586            0.717964             42.0876             42.4011
